BHID,LANDUSE,UserInput_CN2,Area.ha.Input.std,SWATCalc_CN2,LULC,FIMP,FPervious,BHCalcCN2,QA_Does_SWATCalc_Match_BHCalc
1899,FRST,55,0.57,55,FRST,0,1,55,TRUE
1900,FRST,55,7.86,55,FRST,0,1,55,TRUE
1901,FRST,55,15.43,55,FRST,0,1,55,TRUE
1902,FRST,55,9.94,55,FRST,0,1,55,TRUE
1903,FRST,55,171.53,55,FRST,0,1,55,TRUE
1904,FRST,55,64.09,55,FRST,0,1,55,TRUE
1905,FRST,55,8.61,55,FRST,0,1,55,TRUE
1906,FRST,55,0.66,55,FRST,0,1,55,TRUE
1907,FRST,55,8.71,55,FRST,0,1,55,TRUE
1908,FRST,55,0.38,55,FRST,0,1,55,TRUE
1909,FRST,55,0.09,55,FRST,0,1,55,TRUE
1910,FRST,55,4.26,55,FRST,0,1,55,TRUE
1911,FRST,55,2.27,55,FRST,0,1,55,TRUE
1912,FRST,55,0.38,55,FRST,0,1,55,TRUE
1913,FRST,55,0.28,55,FRST,0,1,55,TRUE
1914,FRST,55,1.7,55,FRST,0,1,55,TRUE
1915,FRST,55,0.28,55,FRST,0,1,55,TRUE
1916,FRST,55,5.77,55,FRST,0,1,55,TRUE
1917,FRST,55,40.61,55,FRST,0,1,55,TRUE
1918,FRST,55,3.41,55,FRST,0,1,55,TRUE
1919,FRST,55,46.29,55,FRST,0,1,55,TRUE
1920,FRST,55,0.09,55,FRST,0,1,55,TRUE
1921,FRST,55,4.64,55,FRST,0,1,55,TRUE
1922,FRST,70,0.76,70,FRST,0,1,70,TRUE
1923,FRST,70,1.89,70,FRST,0,1,70,TRUE
1924,FRST,70,1.04,70,FRST,0,1,70,TRUE
1925,FRST,55,1.61,55,FRST,0,1,55,TRUE
1926,FRST,55,0.47,55,FRST,0,1,55,TRUE
1927,FRST,55,1.04,55,FRST,0,1,55,TRUE
1928,FRST,55,0.09,55,FRST,0,1,55,TRUE
1929,FRST,55,2.84,55,FRST,0,1,55,TRUE
1930,FRST,55,9.75,55,FRST,0,1,55,TRUE
1931,FRST,55,3.12,55,FRST,0,1,55,TRUE
1932,FRST,55,15.15,55,FRST,0,1,55,TRUE
1933,FRST,55,0.66,55,FRST,0,1,55,TRUE
1934,FRST,55,19.88,55,FRST,0,1,55,TRUE
1935,FRST,70,0.19,70,FRST,0,1,70,TRUE
1936,FRST,70,0.09,70,FRST,0,1,70,TRUE
1937,FRST,55,14.01,55,FRST,0,1,55,TRUE
1938,FRST,55,47.24,55,FRST,0,1,55,TRUE
1939,FRST,55,20.73,55,FRST,0,1,55,TRUE
1940,FRST,55,1.23,55,FRST,0,1,55,TRUE
1941,FRST,55,23.19,55,FRST,0,1,55,TRUE
1942,FRST,55,1.99,55,FRST,0,1,55,TRUE
1943,FRST,55,6.91,55,FRST,0,1,55,TRUE
1944,FRST,55,7.29,55,FRST,0,1,55,TRUE
1945,FRST,55,13.44,55,FRST,0,1,55,TRUE
1946,FRST,55,13.63,55,FRST,0,1,55,TRUE
1947,FRST,55,1.8,55,FRST,0,1,55,TRUE
1948,FRST,55,2.93,55,FRST,0,1,55,TRUE
1949,FRST,55,4.35,55,FRST,0,1,55,TRUE
1950,FRST,55,0.38,55,FRST,0,1,55,TRUE
1951,FRST,55,2.65,55,FRST,0,1,55,TRUE
1952,FRST,55,29.63,55,FRST,0,1,55,TRUE
1953,FRST,55,43.92,55,FRST,0,1,55,TRUE
1954,FRST,55,5.96,55,FRST,0,1,55,TRUE
1955,FRST,55,97.97,55,FRST,0,1,55,TRUE
1956,FRST,55,16.85,55,FRST,0,1,55,TRUE
1957,FRST,55,19.97,55,FRST,0,1,55,TRUE
1958,FRST,55,0.95,55,FRST,0,1,55,TRUE
1959,FRST,55,22.53,55,FRST,0,1,55,TRUE
1960,FRST,55,41.56,55,FRST,0,1,55,TRUE
1961,FRST,55,2.08,55,FRST,0,1,55,TRUE
1962,FRST,55,1.99,55,FRST,0,1,55,TRUE
1963,FRST,55,0.19,55,FRST,0,1,55,TRUE
1964,FRST,55,0.09,55,FRST,0,1,55,TRUE
1965,FRST,55,0.28,55,FRST,0,1,55,TRUE
1966,FRST,55,0.47,55,FRST,0,1,55,TRUE
1967,FRST,55,42.31,55,FRST,0,1,55,TRUE
1968,FRST,55,23.67,55,FRST,0,1,55,TRUE
1969,FRST,55,0.09,55,FRST,0,1,55,TRUE
1970,FRST,55,0.19,55,FRST,0,1,55,TRUE
1971,FRST,55,1.04,55,FRST,0,1,55,TRUE
1972,FRST,55,4.92,55,FRST,0,1,55,TRUE
1973,FRST,55,0.85,55,FRST,0,1,55,TRUE
1974,FRST,55,0.66,55,FRST,0,1,55,TRUE
1975,FRST,55,0.95,55,FRST,0,1,55,TRUE
1976,FRST,55,53.58,55,FRST,0,1,55,TRUE
1977,FRST,55,48.18,55,FRST,0,1,55,TRUE
1978,FRST,55,0.09,55,FRST,0,1,55,TRUE
1979,FRST,55,0.09,55,FRST,0,1,55,TRUE
1980,FRST,55,0.76,55,FRST,0,1,55,TRUE
1981,FRST,70,0.09,70,FRST,0,1,70,TRUE
1982,FRST,70,1.14,70,FRST,0,1,70,TRUE
1983,FRST,70,3.98,70,FRST,0,1,70,TRUE
1984,FRST,70,0.47,70,FRST,0,1,70,TRUE
1985,FRST,70,4.17,70,FRST,0,1,70,TRUE
1986,FRST,70,1.23,70,FRST,0,1,70,TRUE
1987,FRST,70,1.33,70,FRST,0,1,70,TRUE
1988,FRST,70,0.38,70,FRST,0,1,70,TRUE
1989,FRST,70,0.19,70,FRST,0,1,70,TRUE
1990,FRST,70,0.28,70,FRST,0,1,70,TRUE
1991,FRST,70,11.17,70,FRST,0,1,70,TRUE
1992,FRST,70,9.28,70,FRST,0,1,70,TRUE
1993,FRST,70,1.61,70,FRST,0,1,70,TRUE
1994,FRST,70,0.47,70,FRST,0,1,70,TRUE
1995,FRST,70,5.3,70,FRST,0,1,70,TRUE
1996,FRST,70,0.95,70,FRST,0,1,70,TRUE
1997,FRST,70,0.28,70,FRST,0,1,70,TRUE
1998,FRST,70,2.08,70,FRST,0,1,70,TRUE
1999,FRST,70,2.93,70,FRST,0,1,70,TRUE
2000,FRST,55,0.57,55,FRST,0,1,55,TRUE
2001,FRST,55,4.64,55,FRST,0,1,55,TRUE
2002,FRST,55,0.76,55,FRST,0,1,55,TRUE
2003,FRST,55,0.95,55,FRST,0,1,55,TRUE
2004,FRST,55,1.33,55,FRST,0,1,55,TRUE
2005,FRST,70,0.09,70,FRST,0,1,70,TRUE
2006,FRST,70,7,70,FRST,0,1,70,TRUE
2007,FRST,70,0.09,70,FRST,0,1,70,TRUE
2008,FRST,70,0.19,70,FRST,0,1,70,TRUE
2009,FRST,70,0.85,70,FRST,0,1,70,TRUE
2010,FRST,70,0.47,70,FRST,0,1,70,TRUE
2011,FRST,70,8.8,70,FRST,0,1,70,TRUE
2012,FRST,70,5.11,70,FRST,0,1,70,TRUE
2013,FRST,70,2.46,70,FRST,0,1,70,TRUE
2014,FRST,70,3.6,70,FRST,0,1,70,TRUE
2015,FRST,70,3.31,70,FRST,0,1,70,TRUE
2016,FRST,70,0.19,70,FRST,0,1,70,TRUE
2017,FRST,70,2.08,70,FRST,0,1,70,TRUE
2018,FRST,70,0.47,70,FRST,0,1,70,TRUE
2019,FRST,70,0.19,70,FRST,0,1,70,TRUE
2020,FRST,70,0.76,70,FRST,0,1,70,TRUE
2021,FRST,70,5.96,70,FRST,0,1,70,TRUE
2022,FRST,70,9.56,70,FRST,0,1,70,TRUE
2023,FRST,70,7.57,70,FRST,0,1,70,TRUE
2024,FRST,70,0.95,70,FRST,0,1,70,TRUE
2025,FRST,70,1.61,70,FRST,0,1,70,TRUE
2026,AGRL,65.14,1.89,65.14,AGRL,0,1,65.14,TRUE
2027,AGRL,65.14,0.28,65.14,AGRL,0,1,65.14,TRUE
2028,AGRL,65.14,0.09,65.14,AGRL,0,1,65.14,TRUE
2029,AGRL,65.14,0.09,65.14,AGRL,0,1,65.14,TRUE
2030,AGRL,65.14,0.19,65.14,AGRL,0,1,65.14,TRUE
2031,AGRL,65.14,1.04,65.14,AGRL,0,1,65.14,TRUE
2032,AGRL,65.14,0.38,65.14,AGRL,0,1,65.14,TRUE
2033,AGRL,65.14,0.19,65.14,AGRL,0,1,65.14,TRUE
2034,AGRL,65.14,0.19,65.14,AGRL,0,1,65.14,TRUE
2035,AGRL,65.14,0.09,65.14,AGRL,0,1,65.14,TRUE
2036,AGRL,65.14,0.19,65.14,AGRL,0,1,65.14,TRUE
2037,AGRL,65.14,3.88,65.14,AGRL,0,1,65.14,TRUE
2038,AGRL,65.14,1.51,65.14,AGRL,0,1,65.14,TRUE
2039,AGRL,65.14,1.61,65.14,AGRL,0,1,65.14,TRUE
2040,AGRL,65.14,0.66,65.14,AGRL,0,1,65.14,TRUE
2041,AGRL,65.14,0.09,65.14,AGRL,0,1,65.14,TRUE
2042,AGRL,65.14,0.09,65.14,AGRL,0,1,65.14,TRUE
2043,AGRL,65.14,1.23,65.14,AGRL,0,1,65.14,TRUE
2044,AGRL,65.14,0.95,65.14,AGRL,0,1,65.14,TRUE
2045,AGRL,65.14,9.28,65.14,AGRL,0,1,65.14,TRUE
2046,AGRL,65.14,13.73,65.14,AGRL,0,1,65.14,TRUE
2047,AGRL,65.14,0.47,65.14,AGRL,0,1,65.14,TRUE
2048,AGRL,65.14,5.49,65.14,AGRL,0,1,65.14,TRUE
2049,AGRL,65.14,1.23,65.14,AGRL,0,1,65.14,TRUE
2050,AGRL,65.14,0.57,65.14,AGRL,0,1,65.14,TRUE
2051,AGRL,65.14,1.89,65.14,AGRL,0,1,65.14,TRUE
2052,AGRL,65.14,0.38,65.14,AGRL,0,1,65.14,TRUE
2053,AGRL,65.14,0.85,65.14,AGRL,0,1,65.14,TRUE
2054,AGRL,65.14,1.14,65.14,AGRL,0,1,65.14,TRUE
2055,AGRL,65.14,1.04,65.14,AGRL,0,1,65.14,TRUE
2056,AGRL,65.14,0.38,65.14,AGRL,0,1,65.14,TRUE
2057,AGRL,65.14,1.04,65.14,AGRL,0,1,65.14,TRUE
2058,AGRL,65.14,0.47,65.14,AGRL,0,1,65.14,TRUE
2059,AGRL,65.14,0.19,65.14,AGRL,0,1,65.14,TRUE
2060,AGRL,65.14,0.38,65.14,AGRL,0,1,65.14,TRUE
2061,AGRL,65.14,0.85,65.14,AGRL,0,1,65.14,TRUE
2062,AGRL,65.14,0.19,65.14,AGRL,0,1,65.14,TRUE
2063,AGRL,65.14,0.95,65.14,AGRL,0,1,65.14,TRUE
2064,AGRL,65.14,0.38,65.14,AGRL,0,1,65.14,TRUE
2065,AGRL,65.14,0.66,65.14,AGRL,0,1,65.14,TRUE
2066,AGRL,65.14,3.6,65.14,AGRL,0,1,65.14,TRUE
2067,AGRL,65.14,0.28,65.14,AGRL,0,1,65.14,TRUE
2068,AGRL,65.14,1.23,65.14,AGRL,0,1,65.14,TRUE
2069,AGRL,65.14,1.42,65.14,AGRL,0,1,65.14,TRUE
2070,AGRL,65.14,0.57,65.14,AGRL,0,1,65.14,TRUE
2071,AGRL,76.23,0.85,76.23,AGRL,0,1,76.23,TRUE
2072,AGRL,76.23,0.19,76.23,AGRL,0,1,76.23,TRUE
2073,AGRL,76.23,0.28,76.23,AGRL,0,1,76.23,TRUE
2074,AGRL,76.23,0.38,76.23,AGRL,0,1,76.23,TRUE
2075,AGRL,76.23,0.38,76.23,AGRL,0,1,76.23,TRUE
2076,AGRL,76.23,0.09,76.23,AGRL,0,1,76.23,TRUE
2077,AGRL,76.23,0.28,76.23,AGRL,0,1,76.23,TRUE
2078,AGRL,76.23,0.09,76.23,AGRL,0,1,76.23,TRUE
