,Sub,HRU1,Area.ha.Input.std,Slope,SlpLgth.m.,Ovrlnd_N,CondII_CN,TimeConc.hr.,ESCO,EPCO,sub,HRU2,input.std.area.ha,LULC,Sub.1,HRU3,Area_ha,SoilName,Hydgrp,MaxRtDpth_mm,Albedo,USLE_K,USLE_P,USLE_LS,ProfileAWC_mm,IniSoilH2O_mm,CheckPart1VsPart2,CheckPart1VsPart3,AreaTimesSWATCN2
15462,38,15462,1.02,0.033,91.46,0.1,79.34,0.585,0.91,0.57,38,15462,1.02,BERM,38,15462,1.02,Scituate,C,1650,0.23,0.32,1,0.52,280.5,176.092,TRUE,TRUE,80.9268
15463,38,15463,2.69,0.025,91.46,0.1,79.34,0.638,0.91,0.57,38,15463,2.69,BERM,38,15463,2.69,Rainbow,C,1650,0.3,0.37,1,0.36,280.5,176.092,TRUE,TRUE,213.4246
15464,38,15464,0.28,0.056,60.98,0.1,79.34,0.391,0.91,0.57,38,15464,0.28,BERM,38,15464,0.28,Rainbow,C,1650,0.3,0.37,1,0.89,280.5,176.092,TRUE,TRUE,22.2152
15465,38,15465,1.67,0.052,60.98,0.1,79.34,0.402,0.91,0.57,38,15465,1.67,BERM,38,15465,1.67,Rainbow,C,1650,0.3,0.37,1,0.8,280.5,176.092,TRUE,TRUE,132.4978
15466,38,15466,8.08,0.027,91.46,0.1,79.34,0.63,0.91,0.57,38,15466,8.08,BERM,38,15466,8.08,Rainbow,C,1650,0.3,0.37,1,0.4,280.5,176.092,TRUE,TRUE,641.0672
15467,38,15467,3.16,0.058,60.98,0.1,79.34,0.391,0.91,0.57,38,15467,3.16,BERM,38,15467,3.16,Broadbrook,C,1650,0.3,0,1,0.93,280.5,176.092,TRUE,TRUE,250.7144
15468,38,15468,4.46,0.032,91.46,0.1,79.34,0.595,0.91,0.57,38,15468,4.46,BERM,38,15468,4.46,Broadbrook,C,1650,0.3,0,1,0.5,280.5,176.092,TRUE,TRUE,353.8564
15469,38,15469,0.65,0.061,60.98,0.1,69.23,0.382,0.91,0.57,38,15469,0.65,BERM,38,15469,0.65,Narragansett,B,1650,0.23,0,1,1,330,207.167,TRUE,TRUE,44.9995
15470,38,15470,0.56,0.025,91.46,0.1,69.23,0.635,0.91,0.57,38,15470,0.56,BERM,38,15470,0.56,Narragansett,B,1650,0.23,0,1,0.36,330,207.167,TRUE,TRUE,38.7688
15471,38,15471,0.56,0.066,60.98,0.1,69.23,0.373,0.91,0.57,38,15471,0.56,BERM,38,15471,0.56,Narragansett,B,1650,0.23,0,1,1.13,330,207.167,TRUE,TRUE,38.7688
15472,38,15472,0.46,0.025,91.46,0.1,69.23,0.635,0.91,0.57,38,15472,0.46,BERM,38,15472,0.46,Narragansett,B,1650,0.23,0,1,0.36,330,207.167,TRUE,TRUE,31.8458
15473,38,15473,0.09,0.041,91.46,0.1,69.23,0.547,0.91,0.57,38,15473,0.09,BERM,38,15473,0.09,Canton,B,1650,0.23,0.32,1,0.7,330,207.167,TRUE,TRUE,6.2307
15474,38,15474,0.19,0.078,60.98,0.1,69.23,0.354,0.91,0.57,38,15474,0.19,BERM,38,15474,0.19,Canton,B,1650,0.23,0.32,1,1.44,330,207.167,TRUE,TRUE,13.1537
15475,38,15475,0.19,0.17,18.29,0.1,69.23,0.136,0.91,0.57,38,15475,0.19,BERM,38,15475,0.19,Canton,B,1650,0.23,0.32,1,2.38,330,207.167,TRUE,TRUE,13.1537
15476,38,15476,0.93,0.085,60.98,0.1,69.23,0.346,0.91,0.57,38,15476,0.93,BERM,38,15476,0.93,Canton,B,1650,0.23,0.32,1,1.64,330,207.167,TRUE,TRUE,64.3839
15477,38,15477,0.28,0.019,121.95,0.1,69.23,0.819,0.91,0.57,38,15477,0.28,BERM,38,15477,0.28,Canton,B,1650,0.23,0.32,1,0.29,330,207.167,TRUE,TRUE,19.3844
15478,38,15478,0.93,0.073,60.98,0.1,69.23,0.362,0.91,0.57,38,15478,0.93,BERM,38,15478,0.93,Canton,B,1650,0.23,0.32,1,1.31,330,207.167,TRUE,TRUE,64.3839
15479,38,15479,1.11,0.02,121.95,0.1,69.23,0.808,0.91,0.57,38,15479,1.11,BERM,38,15479,1.11,Canton,B,1650,0.23,0.32,1,0.31,330,207.167,TRUE,TRUE,76.8453
15480,38,15480,4.27,0.027,91.46,0.1,79.34,0.626,0.91,0.57,38,15480,4.27,BERM,38,15480,4.27,Ridgebury,C,1650,0.1,0.55,1,0.4,280.5,176.092,TRUE,TRUE,338.7818
15481,38,15481,1.02,0.064,60.98,0.1,79.34,0.377,0.91,0.57,38,15481,1.02,BERM,38,15481,1.02,Ridgebury,C,1650,0.1,0.55,1,1.08,280.5,176.092,TRUE,TRUE,80.9268
15482,38,15482,41.61,0.028,91.46,0.1,69.23,0.655,0.91,0.57,38,15482,41.61,BERM,38,15482,41.61,Chatfield,B,860,0.23,0.02,1,0.42,172,107.978,TRUE,TRUE,2880.6603
15483,38,15483,8.08,0.134,24.39,0.1,69.23,0.183,0.91,0.57,38,15483,8.08,BERM,38,15483,8.08,Chatfield,B,860,0.23,0.02,1,1.93,172,107.978,TRUE,TRUE,559.3784
15484,38,15484,60.83,0.072,60.98,0.1,69.23,0.42,0.91,0.57,38,15484,60.83,BERM,38,15484,60.83,Chatfield,B,860,0.23,0.02,1,1.28,172,107.978,TRUE,TRUE,4211.2609
15485,38,15485,8.64,0.032,91.46,0.1,69.23,0.6,0.91,0.57,38,15485,8.64,BERM,38,15485,8.64,Chatfield,B,860,0.23,0.02,1,0.5,172,107.978,TRUE,TRUE,598.1472
15486,38,15486,12.72,0.153,24.39,0.1,69.23,0.181,0.91,0.57,38,15486,12.72,BERM,38,15486,12.72,Chatfield,B,860,0.23,0.02,1,2.39,172,107.978,TRUE,TRUE,880.6056
15487,38,15487,22.66,0.076,60.98,0.1,69.23,0.381,0.91,0.57,38,15487,22.66,BERM,38,15487,22.66,Chatfield,B,860,0.23,0.02,1,1.39,172,107.978,TRUE,TRUE,1568.7518
15488,38,15488,4.64,0.027,91.46,0.1,52.13,0.626,0.91,0.57,38,15488,4.64,BERM,38,15488,4.64,Hinckley,A,1650,0.23,0.02,1,0.4,363,227.884,TRUE,TRUE,241.8832
15489,38,15489,0.19,0.127,24.39,0.1,52.13,0.177,0.91,0.57,38,15489,0.19,BERM,38,15489,0.19,Hinckley,A,1650,0.23,0.02,1,1.78,363,227.884,TRUE,TRUE,9.9047
15490,38,15490,1.86,0.06,60.98,0.1,52.13,0.385,0.91,0.57,38,15490,1.86,BERM,38,15490,1.86,Hinckley,A,1650,0.23,0.02,1,0.98,363,227.884,TRUE,TRUE,96.9618
15491,38,15491,9.01,0.029,91.46,0.1,52.13,0.618,0.91,0.57,38,15491,9.01,BERM,38,15491,9.01,Hinckley,A,1650,0.23,0.02,1,0.44,363,227.884,TRUE,TRUE,469.6913
15492,38,15492,11.05,0.066,60.98,0.1,52.13,0.385,0.91,0.57,38,15492,11.05,BERM,38,15492,11.05,Hinckley,A,1650,0.23,0.02,1,1.13,363,227.884,TRUE,TRUE,576.0365
15493,38,15493,0.19,0.138,24.39,0.1,52.13,0.172,0.91,0.57,38,15493,0.19,BERM,38,15493,0.19,Hinckley,A,1650,0.23,0.02,1,2.02,363,227.884,TRUE,TRUE,9.9047
15494,38,15494,39.66,0.021,91.46,0.1,52.13,0.708,0.91,0.57,38,15494,39.66,BERM,38,15494,39.66,Merrimac,A,1650,0.23,0.32,1,0.3,363,227.884,TRUE,TRUE,2067.4758
15495,38,15495,0.09,0.129,24.39,0.1,52.13,0.176,0.91,0.57,38,15495,0.09,BERM,38,15495,0.09,Merrimac,A,1650,0.23,0.32,1,1.82,363,227.884,TRUE,TRUE,4.6917
15496,38,15496,7.99,0.062,60.98,0.1,52.13,0.389,0.91,0.57,38,15496,7.99,BERM,38,15496,7.99,Merrimac,A,1650,0.23,0.32,1,1.03,363,227.884,TRUE,TRUE,416.5187
15497,38,15497,3.71,0.021,91.46,0.1,52.13,0.674,0.91,0.57,38,15497,3.71,BERM,38,15497,3.71,Windsor,A,1650,0.23,0.2,1,0.3,363,227.884,TRUE,TRUE,193.4023
15498,38,15498,0.37,0.075,60.98,0.1,52.13,0.358,0.91,0.57,38,15498,0.37,BERM,38,15498,0.37,Windsor,A,1650,0.23,0.2,1,1.36,363,227.884,TRUE,TRUE,19.2881
15499,38,15499,1.21,0.022,91.46,0.1,69.23,0.661,0.91,0.57,38,15499,1.21,BERM,38,15499,1.21,Sudbury,B,1650,0.23,0.28,1,0.31,330,207.167,TRUE,TRUE,83.7683
15500,38,15500,0.74,0.068,60.98,0.1,69.23,0.37,0.91,0.57,38,15500,0.74,BERM,38,15500,0.74,Sudbury,B,1650,0.23,0.28,1,1.18,330,207.167,TRUE,TRUE,51.2302
15501,38,15501,3.34,0.017,121.95,0.1,69.23,0.851,0.91,0.57,38,15501,3.34,BERM,38,15501,3.34,Sudbury,B,1650,0.23,0.28,1,0.26,330,207.167,TRUE,TRUE,231.2282
15502,38,15502,0.46,0.07,60.98,0.1,69.23,0.366,0.91,0.57,38,15502,0.46,BERM,38,15502,0.46,Sudbury,B,1650,0.23,0.28,1,1.23,330,207.167,TRUE,TRUE,31.8458
15503,38,15503,7.71,0.022,91.46,0.1,79.34,0.669,0.91,0.57,38,15503,7.71,BERM,38,15503,7.71,Walpole,C,1650,0.3,0.02,1,0.31,280.5,176.092,TRUE,TRUE,611.7114
15504,38,15504,1.21,0.057,60.98,0.1,79.34,0.39,0.91,0.57,38,15504,1.21,BERM,38,15504,1.21,Walpole,C,1650,0.3,0.02,1,0.91,280.5,176.092,TRUE,TRUE,96.0014
15505,38,15505,0.56,0.126,24.39,0.1,79.34,0.178,0.91,0.57,38,15505,0.56,BERM,38,15505,0.56,Montauk,C,1650,0.16,0.28,1,1.76,280.5,176.092,TRUE,TRUE,44.4304
15506,38,15506,20.71,0.027,91.46,0.1,79.34,0.643,0.91,0.57,38,15506,20.71,BERM,38,15506,20.71,Montauk,C,1650,0.16,0.28,1,0.4,280.5,176.092,TRUE,TRUE,1643.1314
15507,38,15507,12.91,0.065,60.98,0.1,79.34,0.388,0.91,0.57,38,15507,12.91,BERM,38,15507,12.91,Montauk,C,1650,0.16,0.28,1,1.1,280.5,176.092,TRUE,TRUE,1024.2794
15508,38,15508,13.74,0.074,60.98,0.1,79.34,0.375,0.91,0.57,38,15508,13.74,BERM,38,15508,13.74,Montauk,C,1650,0.16,0.28,1,1.33,280.5,176.092,TRUE,TRUE,1090.1316
15509,38,15509,1.67,0.04,91.46,0.1,79.34,0.554,0.91,0.57,38,15509,1.67,BERM,38,15509,1.67,Montauk,C,1650,0.16,0.28,1,0.67,280.5,176.092,TRUE,TRUE,132.4978
15510,38,15510,1.21,0.139,24.39,0.1,79.34,0.173,0.91,0.57,38,15510,1.21,BERM,38,15510,1.21,Montauk,C,1650,0.16,0.28,1,2.05,280.5,176.092,TRUE,TRUE,96.0014
15511,38,15511,0.65,0.126,24.39,0.1,79.34,0.178,0.91,0.57,38,15511,0.65,BERM,38,15511,0.65,Montauk,C,1650,0.16,0.28,1,1.76,280.5,176.092,TRUE,TRUE,51.571
15512,38,15512,10.96,0.029,91.46,0.1,79.34,0.62,0.91,0.57,38,15512,10.96,BERM,38,15512,10.96,Montauk,C,1650,0.16,0.28,1,0.44,280.5,176.092,TRUE,TRUE,869.5664
15513,38,15513,19.78,0.072,60.98,0.1,79.34,0.384,0.91,0.57,38,15513,19.78,BERM,38,15513,19.78,Montauk,C,1650,0.16,0.28,1,1.28,280.5,176.092,TRUE,TRUE,1569.3452
